iter	Passed	Remaining
1348	14987	1677
1349	14999	1666
1350	15009	1655
1351	15021	1644
1352	15030	1632
1353	15040	1621
1354	15051	1610
1355	15062	1599
1356	15074	1588
1357	15083	1577
1358	15095	1566
1359	15106	1555
1360	15115	1543
1361	15126	1532
1362	15136	1521
1363	15146	1510
1364	15156	1498
1365	15167	1487
1366	15179	1476
1367	15192	1465
1368	15203	1454
1369	15213	1443
1370	15223	1432
1371	15232	1421
1372	15242	1409
1373	15252	1398
1374	15262	1387
1375	15273	1376
1376	15284	1365
1377	15296	1354
1378	15306	1343
1379	15316	1331
1380	15327	1320
1381	15338	1309
1382	15347	1298
1383	15358	1287
1384	15367	1276
1385	15377	1264
1386	15389	1253
1387	15398	1242
1388	15411	1231
1389	15422	1220
1390	15433	1209
1391	15442	1198
1392	15454	1187
1393	15465	1176
1394	15478	1165
1395	15489	1153
1396	15499	1142
1397	15509	1131
1398	15521	1120
1399	15530	1109
1400	15541	1098
1401	15552	1087
1402	15563	1076
1403	15576	1065
1404	15586	1053
1405	15597	1042
1406	15608	1031
1407	15619	1020
1408	15631	1009
1409	15643	998
1410	15654	987
1411	15664	976
1412	15674	965
1413	15685	953
1414	15695	942
1415	15705	931
1416	15714	920
1417	15725	909
1418	15736	898
1419	15745	887
1420	15757	876
1421	15769	864
1422	15778	853
1423	15789	842
1424	15799	831
1425	15810	820
1426	15822	809
1427	15833	798
1428	15844	787
1429	15855	776
1430	15866	765
1431	15877	753
1432	15888	742
1433	15898	731
1434	15910	720
1435	15919	709
1436	15929	698
1437	15940	687
1438	15952	676
1439	15962	665
1440	15972	653
1441	15983	642
1442	15993	631
1443	16005	620
1444	16014	609
1445	16024	598
1446	16035	587
1447	16048	576
1448	16058	565
1449	16072	554
1450	16082	543
1451	16093	532
1452	16104	520
1453	16113	509
1454	16124	498
1455	16134	487
1456	16145	476
1457	16157	465
1458	16166	454
1459	16177	443
1460	16189	432
1461	16199	421
1462	16209	409
1463	16218	398
1464	16230	387
1465	16241	376
1466	16253	365
1467	16265	354
1468	16276	343
1469	16286	332
1470	16297	321
1471	16307	310
1472	16317	299
1473	16326	287
1474	16338	276
1475	16349	265
1476	16358	254
1477	16368	243
1478	16378	232
1479	16389	221
1480	16401	210
1481	16411	199
1482	16422	188
1483	16433	177
1484	16444	166
1485	16455	155
1486	16465	143
1487	16476	132
1488	16486	121
1489	16495	110
1490	16506	99
1491	16515	88
1492	16525	77
1493	16536	66
1494	16547	55
1495	16557	44
1496	16568	33
1497	16578	22
1498	16588	11
1499	16598	0
